metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyOracleLite75_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyOracleLite75_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyOracleLite75_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyOracleLite75_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyOracleLite75_simulation_0_350,limit_F1score_avg_350
RL,D0640,105,333,228,66.81823799,66.81823799,0.293062447,0.29,143.8991657,143.8991657,0.132327642,#NAME?,0.21555,0.21555,100,0.238795106,0.238795106,150,0.298002453,0.298002453,250,0.342064561,0.342064561,350,0.329311475,0.329311475
RL,D0643,105,333,228,66.5001634,66.5001634,0.291667383,0.29,133.4,133.4,0.096183206,#NAME?,0.236,0.236,100,0.254214286,0.254214286,150,0.30493873,0.30493873,250,0.346546596,0.346546596,350,0.339275385,0.339275385
RL,D0645,105,333,228,62.64779603,62.64779603,0.274771035,0.29,175.8564746,175.8564746,0.188693848,#NAME?,0.19047,0.19047,100,0.214143684,0.214143684,150,0.26866614,0.26866614,250,0.33215,0.33215,350,0.329956458,0.329956458
RL,D0647,105,333,228,67.77262747,67.77262747,0.297248366,0.29,158.61,158.61,0.166182213,#NAME?,0.17028,0.17028,100,0.1925784,0.1925784,150,0.279739333,0.279739333,250,0.358820909,0.358820909,350,0.394701765,0.394701765
RL,D0650,105,333,228,58.64974078,58.64974078,0.257235705,0.29,228.7343367,228.7343367,0.268487986,#NAME?,0.21991,0.21991,100,0.223897,0.223897,150,0.246047,0.246047,250,0.301165306,0.301165306,350,0.313015797,0.313015797
RL,AVG,105,333,228,62.92046423,62.92046423,0.275966948,0.29,,187.9938005,0.218080639,#NAME?,0.19770381,0.19770381,100,0.217129424,0.217129424,150,0.269952716,0.269952716,250,0.327617108,0.327617108,350,0.333511451,0.333511451
RL,STD,0,0,0,5.642596062,5.642596062,0.024748228,0.29,,62.56557689,0.138038824,#NAME?,0.021385094,0.021385094,100,0.022852678,0.022852678,150,0.030548742,0.030548742,250,0.027946759,0.027946759,350,0.030706264,0.030706264
RL,BootAvg,,,,,62.92191192,,,,186.8486534,,#NAME?,,0.197739286,100,,0.217171289,150,,0.269944759,250,,0.327771133,350,,0.333296473
RL,BootLower,,,,2.498133813,60.42377811,,,,163.4616523,#NAME?,#NAME?,0.00930106,0.188438226,100,0.009832709,0.20733858,150,0.013411992,0.256532767,250,0.01198611,0.315785024,350,0.01238473,0.320911743
RL,BootUpper,,,,2.380766059,65.30267798,,,,217.0002746,#NAME?,#NAME?,0.008896964,0.20663625,100,0.00985585,0.227027139,150,0.01240321,0.282347969,250,0.011845211,0.339616345,350,0.01393325,0.347229722
,,,,,,,,,,,,,,,,,,,,,,,,,,
RSU,D0601,105,333,228,26.66273216,26.66273216,0.116941808,0.11,161.5251698,161.5251698,0.155722,#NAME?,0.0357,0.0357,100,0.04993561,0.04993561,150,0.099114151,0.099114151,250,0.149111,0.149111,350,0.151874151,0.151874151
RSU,D0602,105,333,228,18.32910538,18.32910538,0.080390813,0.11,246.5682819,246.5682819,0.316546646,#NAME?,0.01976,0.01976,100,0.033563191,0.033563191,150,0.065508545,0.065508545,250,0.110144259,0.110144259,350,0.117243333,0.117243333
RSU,D0603,105,333,228,25.05322812,25.05322812,0.109882579,0.11,184.7446926,184.7446926,0.205842644,#NAME?,0.03452,0.03452,100,0.048168333,0.048168333,150,0.084281837,0.084281837,250,0.150644839,0.150644839,350,0.152640392,0.152640392
RSU,D0605,105,333,228,18.25655889,18.25655889,0.080072627,0.11,252.4919423,252.4919423,0.401229856,#NAME?,0.03298,0.03298,100,0.036507273,0.036507273,150,0.059411429,0.059411429,250,0.109374894,0.109374894,350,0.113820769,0.113820769
RSU,D0608,105,333,228,24.023458,24.023458,0.105366044,0.11,198.3931523,198.3931523,0.226090847,#NAME?,0.03758,0.03758,100,0.043344737,0.043344737,150,0.079341765,0.079341765,250,0.129640725,0.129640725,350,0.154817037,0.154817037
