metric,topic,start_len,end_len,word_range,auc_resultsClusteringSpacyKeyphrases75_2_simulation_0,auc_topic,aucNorm_resultsClusteringSpacyKeyphrases75_2_simulation_0,score_limit,limit_wordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,limit_wordCount_topic,limit_relativeWordCount_resultsClusteringSpacyKeyphrases75_2_simulation_0,wordcount_limit_-inf,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_-inf,limit_F1score_avg_-inf,wordcount_limit_100,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_100,limit_F1score_avg_100,wordcount_limit_150,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_150,limit_F1score_avg_150,wordcount_limit_250,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_250,limit_F1score_avg_250,wordcount_limit_350,limit_F1score_resultsClusteringSpacyKeyphrases75_2_simulation_0_350,limit_F1score_avg_350
RSU,D0603,105,333,228,25.49959641,25.49959641,0.111840335,0.11,162.7653179,162.7653179,0.18839935,#NAME?,0.03452,0.03452,100,0.051233214,0.051233214,150,0.097009412,0.097009412,250,0.150130233,0.150130233,350,0.15228549,0.15228549
RSU,D0605,105,333,228,18.5580838,18.5580838,0.081395104,0.11,247.4344569,247.4344569,0.455819522,#NAME?,0.03298,0.03298,100,0.036951613,0.036951613,150,0.067601132,0.067601132,250,0.110978571,0.110978571,350,0.11830122,0.11830122
RSU,D0608,105,333,228,22.96086683,22.96086683,0.100705556,0.11,189.6411496,189.6411496,0.208103691,#NAME?,0.03758,0.03758,100,0.045754634,0.045754634,150,0.085805902,0.085805902,250,0.124972941,0.124972941,350,0.129723864,0.129723864
RSU,D0614,105,333,228,28.78149771,28.78149771,0.126234639,0.11,148.8888889,148.8888889,0.158018176,#NAME?,0.05267,0.05267,100,0.06378,0.06378,150,0.11098125,0.11098125,250,0.163637714,0.163637714,350,0.166305946,0.166305946
RSU,D0615,105,333,228,20.26152906,20.26152906,0.088866356,0.11,189.7120894,189.7120894,0.26613483,#NAME?,0.03299,0.03299,100,0.045930345,0.045930345,150,0.086458621,0.086458621,250,0.114112222,0.114112222,350,0.121040526,0.121040526
RSU,D0616,105,333,228,21.77953745,21.77953745,0.095524287,0.11,216.7870434,216.7870434,0.297871896,#NAME?,0.04794,0.04794,100,0.054596,0.054596,150,0.084525294,0.084525294,250,0.118737551,0.118737551,350,0.140627778,0.140627778
RSU,D0617,105,333,228,21.06768116,21.06768116,0.09240211,0.11,222.4915254,222.4915254,0.317459127,#NAME?,0.03736,0.03736,100,0.047948421,0.047948421,150,0.074420943,0.074420943,250,0.122513158,0.122513158,350,0.125921277,0.125921277
RSU,D0620,105,333,228,22.53312433,22.53312433,0.098829493,0.11,179.3805601,179.3805601,0.191582698,#NAME?,0.0584,0.0584,100,0.060634651,0.060634651,150,0.09585,0.09585,250,0.12778,0.12778,350,0.124926786,0.124926786
RSU,D0624,105,333,228,27.69242022,27.69242022,0.121457983,0.11,149.5658296,149.5658296,0.166046008,#NAME?,0.04391,0.04391,100,0.06776,0.06776,150,0.11037,0.11037,250,0.167083043,0.167083043,350,0.165756957,0.165756957
RSU,D0627,105,333,228,21.38834925,21.38834925,0.093808549,0.11,202.3065693,202.3065693,0.285765527,#NAME?,0.03566,0.03566,100,0.046279412,0.046279412,150,0.0809128,0.0809128,250,0.128761538,0.128761538,350,0.127576667,0.127576667
RSU,D0628,105,333,228,24.03100667,24.03100667,0.105399152,0.11,175.8783005,175.8783005,0.22472341,#NAME?,0.04311,0.04311,100,0.05435,0.05435,150,0.093602115,0.093602115,250,0.138620545,0.138620545,350,0.140413333,0.140413333
RSU,D0629,105,333,228,21.31123788,21.31123788,0.093470342,0.11,224.8424289,224.8424289,0.46377412,#NAME?,0.02536,0.02536,100,0.03985,0.03985,150,0.079097917,0.079097917,250,0.122414545,0.122414545,350,0.1490524,0.1490524
RSU,D0630,105,333,228,20.09105386,20.09105386,0.088118657,0.11,188.0483871,188.0483871,0.208869284,#NAME?,0.03548,0.03548,100,0.04424,0.04424,150,0.082008182,0.082008182,250,0.12053,0.12053,350,0.121822553,0.121822553
RSU,D0631,105,333,228,27.35041004,27.35041004,0.119957939,0.11,149.1018388,149.1018388,0.170004276,#NAME?,0.03951,0.03951,100,0.063248824,0.063248824,150,0.110846667,0.110846667,250,0.155994839,0.155994839,350,0.164322979,0.164322979
RSU,D0640,105,333,228,26.19432359,26.19432359,0.114887384,0.11,163.8279696,163.8279696,0.250227317,#NAME?,0.04381,0.04381,100,0.064615,0.064615,150,0.101632,0.101632,250,0.148313878,0.148313878,350,0.155965333,0.155965333
RSU,D0643,105,333,228,29.57317708,29.57317708,0.129706917,0.11,149.8887256,149.8887256,0.155555176,#NAME?,0.05327,0.05327,100,0.065056667,0.065056667,150,0.110101923,0.110101923,250,0.168830714,0.168830714,350,0.175176,0.175176
RSU,D0645,105,333,228,25.14016051,25.14016051,0.110263862,0.11,159.2875158,159.2875158,0.20123735,#NAME?,0.03158,0.03158,100,0.053527059,0.053527059,150,0.101634,0.101634,250,0.138800976,0.138800976,350,0.145897297,0.145897297
RSU,D0647,105,333,228,17.32195139,17.32195139,0.075973471,0.11,252.5109091,252.5109091,0.519850333,#NAME?,0.03064,0.03064,100,0.034993061,0.034993061,150,0.060768,0.060768,250,0.109273158,0.109273158,350,0.1136152,0.1136152
RSU,D0650,105,333,228,20.02347452,20.02347452,0.087822257,0.11,249.0027298,249.0027298,0.391095866,#NAME?,0.04864,0.04864,100,0.053308387,0.053308387,150,0.07258,0.07258,250,0.110644706,0.110644706,350,0.132476444,0.132476444
RSU,AVG,105,333,228,23.09009164,23.09009164,0.101272332,0.11,,191.7957082,0.274821039,#NAME?,0.0400555,0.0400555,100,0.051977031,0.051977031,150,0.088826808,0.088826808,250,0.1329586,0.1329586,350,0.139244989,0.139244989
RSU,STD,0,0,0,3.426357162,3.426357162,0.015027882,0.11,,34.39290961,0.108902282,#NAME?,0.008439189,0.008439189,100,0.00955437,0.00955437,150,0.015244628,0.015244628,250,0.019177808,0.019177808,350,0.018690974,0.018690974
